ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
0,7.6,116,3,4,4,85000000,38107822,450717150
1,3.4,82,2,4,4,109000000,38329160,100446895
0,6.1,125,3,4,4,110000000,39153380,125531634
0,5.5,98,3,3,3,92000000,40128550,264105545
0,5,83,3,2,3,45000000,40222875,178262620
0,5.1,112,3,3,4,145000000,40457770,401128639
0,6.6,108,2,4,3,100000000,41533432,197992827
0,6.4,108,4,2,4,110000000,42212651,574480841
0,6.1,106,3,2,4,75000000,42220847,133756285
0,7.1,86,2,2,4,85000000,45012998,154529187
0,6.8,99,4,2,4,75000000,45107871,196485100
1,6.7,138,3,3,4,150000000,46204168,133375846
0,7.5,81,3,2,3,59000000,46312454,188600000
0,6.2,147,4,4,4,130000000,46522560,138396624
0,6.4,108,3,4,4,73000000,47042215,148213377
0,6,133,3,3,3,142000000,47072040,431971116
0,6.8,126,4,2,4,150000000,47743273,395668139
0,6.7,110,3,2,3,41000000,51240555,116724075
0,4.5,103,4,3,2,150000000,51804232,224070000
0,7,115,3,3,5,120000000,52179887,347234916
0,6.5,154,3,3,3,209000000,52535096,391081192
0,7.7,162,4,2,3,130000000,55214334,185258983
0,7.4,117,5,3,4,120000000,60119509,461981126
0,8,92,3,2,3,115000000,62577067,255870172
0,8.9,148,4,2,4,160000000,62785337,820186685
1,5.9,158,5,2,3,200000000,65237614,166112167
0,8.8,178,4,4,4,93000000,66114741,870761744
0,6.2,130,4,4,4,98000000,68139035,430000000
0,8.2,115,4,3,3,110000000,69283690,227225045
0,8.2,100,4,3,3,94000000,70251710,864625978
0,6.6,93,2,2,4,165000000,70838207,238371987
0,5.5,183,4,2,3,140000000,75177654,198539855
0,6.4,149,3,2,3,125000000,77073388,217536138
0,6.8,142,5,5,3,115000000,80027814,338800000
0,6.3,124,4,4,3,125000000,85807341,186739919
0,7.2,152,4,2,4,125000000,90294621,976475550
0,7.7,141,4,3,4,130000000,93687367,761300818
0,7.6,157,4,2,4,150000000,102335066,895921036
0,7.8,140,5,5,3,113000000,108435841,414318300
0,8.7,103,3,2,4,200000000,110307189,635700000
0,6.9,104,3,3,4,210000000,122861157,234360014
0,6.5,122,4,4,4,185000000,126917373,317011114
0,7,169,4,4,4,300000000,139802190,309404152
0,8.9,152,4,3,4,185000000,158411483,1001921825
